"text","label"
"Collapsed bridge in North Dumdum poses danger to commuters.","Medium"
"Streetlights not working in Aurangabad for the past 18 days.","Medium"
"Collapsed bridge in Tirunelveli poses danger to commuters.","Low"
"Streetlights not working in Sangli-Miraj & Kupwad for the past 21 days.","High"
"Collapsed bridge in Srinagar poses danger to commuters.","High"
"Potholes on main road near Bikaner causing traffic jams.","Medium"
"Collapsed bridge in Vasai-Virar poses danger to commuters.","Medium"
"Potholes on main road near Nashik causing traffic jams.","Medium"
"Potholes on main road near Dhule causing traffic jams.","Low"
"Collapsed bridge in Latur poses danger to commuters.","Medium"
"Streetlights not working in Mahbubnagar for the past 27 days.","Medium"
"Streetlights not working in Tumkur for the past 10 days.","Medium"
"Potholes on main road near Thane causing traffic jams.","Low"
"Streetlights not working in Hyderabad for the past 3 days.","Medium"
"Streetlights not working in Giridih for the past 25 days.","Low"
"Streetlights not working in Kolhapur for the past 16 days.","High"
"Streetlights not working in Sirsa for the past 2 days.","Medium"
"Collapsed bridge in Navi Mumbai poses danger to commuters.","High"
"Streetlights not working in Bhilai for the past 1 days.","Low"
"Collapsed bridge in Singrauli poses danger to commuters.","Low"
"Potholes on main road near Dewas causing traffic jams.","Medium"
"Potholes on main road near Bhilai causing traffic jams.","High"
"Collapsed bridge in Dharmavaram poses danger to commuters.","Medium"
"Streetlights not working in Firozabad for the past 22 days.","Medium"
"Collapsed bridge in Kolhapur poses danger to commuters.","Medium"
"Streetlights not working in Naihati for the past 19 days.","High"
"Streetlights not working in Rajahmundry for the past 5 days.","Medium"
"Streetlights not working in Bhilai for the past 2 days.","Medium"
"Collapsed bridge in Aurangabad poses danger to commuters.","Low"
"Streetlights not working in Vadodara for the past 9 days.","Low"
"Streetlights not working in Shimla for the past 5 days.","High"
"Collapsed bridge in Motihari poses danger to commuters.","Medium"
"Collapsed bridge in Tiruvottiyur poses danger to commuters.","Medium"
"Streetlights not working in Bhilai for the past 19 days.","High"
"Collapsed bridge in Pudukkottai poses danger to commuters.","Medium"
"Collapsed bridge in Nangloi Jat poses danger to commuters.","Low"
"Streetlights not working in Indore for the past 14 days.","Medium"
"Streetlights not working in Bhilai for the past 25 days.","Medium"
"Streetlights not working in Bhilwara for the past 23 days.","Medium"
"Potholes on main road near Bathinda causing traffic jams.","Low"
"Potholes on main road near Ludhiana causing traffic jams.","Low"
"Streetlights not working in Madhyamgram for the past 12 days.","Low"
"Streetlights not working in Chapra for the past 25 days.","High"
"Streetlights not working in Bhusawal for the past 3 days.","High"
"Streetlights not working in Bilaspur for the past 15 days.","Low"
"Streetlights not working in Jorhat for the past 23 days.","Medium"
"Potholes on main road near Gangtok causing traffic jams.","High"
"Streetlights not working in Shimoga for the past 18 days.","High"
"Collapsed bridge in Allahabad poses danger to commuters.","High"
"Streetlights not working in Khora  for the past 16 days.","High"
"Contaminated water supply reported in Katihar.","Medium"
"No electricity supply in Panipat for over 22 hours.","Low"
"Contaminated water supply reported in Shimoga.","Low"
"No electricity supply in Tenali for over 17 hours.","Medium"
"No electricity supply in Asansol for over 23 hours.","High"
"No electricity supply in Sonipat for over 19 hours.","Low"
"Contaminated water supply reported in Serampore.","Low"
"Contaminated water supply reported in Rourkela.","Low"
"No electricity supply in Moradabad for over 7 hours.","High"
"No electricity supply in Faridabad for over 29 hours.","Medium"
"Gas leakage complaint from Bhusawal, urgent attention needed.","High"
"Gas leakage complaint from Durgapur, urgent attention needed.","High"
"No electricity supply in Malegaon for over 20 hours.","High"
"Contaminated water supply reported in Bihar Sharif.","Low"
"No electricity supply in Panvel for over 23 hours.","Medium"
"No electricity supply in Gopalpur for over 20 hours.","High"
"No electricity supply in Jalgaon for over 13 hours.","High"
"Gas leakage complaint from Chennai, urgent attention needed.","High"
"No electricity supply in Pondicherry for over 23 hours.","Medium"
"No electricity supply in Begusarai for over 21 hours.","Medium"
"Gas leakage complaint from Gurgaon, urgent attention needed.","High"
"Contaminated water supply reported in Eluru.","Medium"
"No electricity supply in Jabalpur for over 12 hours.","High"
"Contaminated water supply reported in Lucknow.","High"
"No electricity supply in Vadodara for over 5 hours.","Low"
"No electricity supply in Visakhapatnam for over 26 hours.","Medium"
"No electricity supply in Pallavaram for over 30 hours.","Medium"
"No electricity supply in Bhind for over 25 hours.","Low"
"Contaminated water supply reported in Bhopal.","High"
"Gas leakage complaint from Panchkula, urgent attention needed.","Low"
"Gas leakage complaint from Ghaziabad, urgent attention needed.","Medium"
"Gas leakage complaint from Unnao, urgent attention needed.","Medium"
"No electricity supply in Mahbubnagar for over 12 hours.","High"
"Contaminated water supply reported in Mango.","Medium"
"No electricity supply in Bareilly for over 21 hours.","Low"
"Gas leakage complaint from Tadipatri, urgent attention needed.","Medium"
"Contaminated water supply reported in Proddatur.","Low"
